index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://ik.imagekit.io/eu4vvexmy7/Katyayani%20Prozol%20Propiconazole%2025%20EC%20Systematic%20Fungicide.png?updatedAt=1748261818923,https://agribegri.com/products/propiconazole-25--ec-fungicide--systemic-fungicide-for-plants.php
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://ik.imagekit.io/eu4vvexmy7/Magic%20FungiX%20For%20Fungal%20disease.png?updatedAt=1748261818300,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://ik.imagekit.io/eu4vvexmy7/Katyayani%20All%20in%201%20Organic%20Fungicide.png?updatedAt=1748261806553,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://ik.imagekit.io/eu4vvexmy7/Tapti%20Booster%20Organic%20Fertilizer.png?updatedAt=1748261794448,https://www.amazon.in/Green-Yantra-Booster-Nutrition-Panchgvaya/dp/B082YBSLH4
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://ik.imagekit.io/eu4vvexmy7/GreenStix%20Fertilizer.png?updatedAt=1748261812213,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://ik.imagekit.io/eu4vvexmy7/ROM%20Mildew%20Clean.png?updatedAt=1748261794901,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://ik.imagekit.io/eu4vvexmy7/Plantic%20Organic%20BloomDrop%20Liquid%20Plant%20Food.png?updatedAt=1748261798820,https://www.amazon.in/PLANTIC-Fertilizer-Flowering-Blooming-BloomDrop/dp/B08YKFP4BM
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://ik.imagekit.io/eu4vvexmy7/ANTRACOL%20FUNGICIDE.png?updatedAt=1748261828767,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://ik.imagekit.io/eu4vvexmy7/3%20STAR%20M45%20Mancozeb%2075_%20WP%20Contact%20Fungicide.png?updatedAt=1748261827584,https://www.indiamart.com/proddetail/m45-mancozeb-75-wp-fungicide-15789700491.html
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://ik.imagekit.io/eu4vvexmy7/QUIT%20(Carbendazim%2012%20Mancozeb%2063%20WP)%20Protective%20And%20Curative%20Fungicide.png?updatedAt=1748261814938,https://agribegri.com/products/buy-carbendazim-12--mancozeb-63-online--buy-fungicide-online.php
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://ik.imagekit.io/eu4vvexmy7/Biomass%20Lab%20Sampoorn%20Fasal%20Ahaar%20(Multipurpose%20Organic%20Fertilizer%20&%20Plant%20Food).png?updatedAt=1748261824121,https://www.amazon.in/Biomass-Lab-Sampoorn-Multipurpose-Fertilizer/dp/B07W8N4BVH
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://ik.imagekit.io/eu4vvexmy7/Southern%20Ag%20Captan%2050%20WP%20Fungicide.png?updatedAt=1748261814555,https://www.amazon.in/Southern-Ag-Captan-50-Fungicide/dp/B000YHB4HW
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://ik.imagekit.io/eu4vvexmy7/ALIETTE%20FUNGICIDE.png?updatedAt=1748261827293,https://www.agristores.in/products/aliette-fungicide
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://ik.imagekit.io/eu4vvexmy7/Tebulur%20Tebuconazole%2010%20Sulphur%2065%20WG.png?updatedAt=1748264625589,https://agribegri.com/products/buy-tebuconazole-10--sulphur-65-wg-online--online-agro-store.php
15,Grape___healthy,Sansar Green Grapes Fertilizer Fertilizer,https://ik.imagekit.io/eu4vvexmy7/Sansar%20Green%20Grapes%20Fertilizer%20Fertilizer.png?updatedAt=1748261815702,https://www.amazon.in/Sansar-Essential-Powerful-Fertilizer-Organism/dp/B09B3TJ6SF
