Image Name,true_label
Apple___Apple_scab/image (1).JPG,Apple : Scab
Apple___Apple_scab/image (2).JPG,Apple : Scab
Apple___Apple_scab/image (3).JPG,Apple : Scab
Apple___Apple_scab/image (4).JPG,Apple : Scab
Apple___Apple_scab/image (5).JPG,Apple : Scab
Apple___Apple_scab/image (6).JPG,Apple : Scab
Apple___Apple_scab/image (7).JPG,Apple : Scab
Apple___Apple_scab/image (8).JPG,Apple : Scab
Apple___Apple_scab/image (9).JPG,Apple : Scab
Apple___Apple_scab/image (10).JPG,Apple : Scab
Apple___Apple_scab/image (11).JPG,Apple : Scab
Apple___Apple_scab/image (12).JPG,Apple : Scab
Apple___Apple_scab/image (13).JPG,Apple : Scab
Apple___Apple_scab/image (14).JPG,Apple : Scab
Apple___Apple_scab/image (15).JPG,Apple : Scab
Apple___Apple_scab/image (16).JPG,Apple : Scab
Apple___Apple_scab/image (17).JPG,Apple : Scab
Apple___Apple_scab/image (18).JPG,Apple : Scab
Apple___Apple_scab/image (19).JPG,Apple : Scab
Apple___Apple_scab/image (20).JPG,Apple : Scab
Apple___Apple_scab/image (21).JPG,Apple : Scab
Apple___Apple_scab/image (22).JPG,Apple : Scab
Apple___Apple_scab/image (23).JPG,Apple : Scab
Apple___Apple_scab/image (24).JPG,Apple : Scab
Apple___Apple_scab/image (25).JPG,Apple : Scab
Apple___Apple_scab/image (26).JPG,Apple : Scab
Apple___Apple_scab/image (27).JPG,Apple : Scab
Apple___Apple_scab/image (28).JPG,Apple : Scab
Apple___Apple_scab/image (29).JPG,Apple : Scab
Apple___Apple_scab/image (30).JPG,Apple : Scab
Apple___Apple_scab/image (31).JPG,Apple : Scab
Apple___Apple_scab/image (32).JPG,Apple : Scab
Apple___Apple_scab/image (33).JPG,Apple : Scab
Apple___Apple_scab/image (34).JPG,Apple : Scab
Apple___Apple_scab/image (35).JPG,Apple : Scab
Apple___Apple_scab/image (36).JPG,Apple : Scab
Apple___Apple_scab/image (37).JPG,Apple : Scab
Apple___Apple_scab/image (38).JPG,Apple : Scab
Apple___Apple_scab/image (39).JPG,Apple : Scab
Apple___Apple_scab/image (40).JPG,Apple : Scab
Apple___Apple_scab/image (41).JPG,Apple : Scab
Apple___Apple_scab/image (42).JPG,Apple : Scab
Apple___Apple_scab/image (43).JPG,Apple : Scab
Apple___Apple_scab/image (44).JPG,Apple : Scab
Apple___Apple_scab/image (45).JPG,Apple : Scab
Apple___Apple_scab/image (46).JPG,Apple : Scab
Apple___Apple_scab/image (47).JPG,Apple : Scab
Apple___Apple_scab/image (48).JPG,Apple : Scab
Apple___Apple_scab/image (49).JPG,Apple : Scab
Apple___Apple_scab/image (50).JPG,Apple : Scab
Apple___Apple_scab/image (51).JPG,Apple : Scab
Apple___Apple_scab/image (52).JPG,Apple : Scab
Apple___Apple_scab/image (53).JPG,Apple : Scab
Apple___Apple_scab/image (54).JPG,Apple : Scab
Apple___Apple_scab/image (55).JPG,Apple : Scab
Apple___Apple_scab/image (56).JPG,Apple : Scab
Apple___Apple_scab/image (57).JPG,Apple : Scab
Apple___Apple_scab/image (58).JPG,Apple : Scab
Apple___Apple_scab/image (59).JPG,Apple : Scab
Apple___Apple_scab/image (60).JPG,Apple : Scab
Apple___Apple_scab/image (61).JPG,Apple : Scab
Apple___Apple_scab/image (62).JPG,Apple : Scab
Apple___Apple_scab/image (63).JPG,Apple : Scab
Apple___Apple_scab/image (64).JPG,Apple : Scab
Apple___Apple_scab/image (65).JPG,Apple : Scab
Apple___Apple_scab/image (66).JPG,Apple : Scab
Apple___Apple_scab/image (67).JPG,Apple : Scab
Apple___Apple_scab/image (68).JPG,Apple : Scab
Apple___Apple_scab/image (69).JPG,Apple : Scab
Apple___Apple_scab/image (70).JPG,Apple : Scab
Apple___Apple_scab/image (71).JPG,Apple : Scab
Apple___Apple_scab/image (72).JPG,Apple : Scab
Apple___Apple_scab/image (73).JPG,Apple : Scab
Apple___Apple_scab/image (74).JPG,Apple : Scab
Apple___Apple_scab/image (75).JPG,Apple : Scab
Apple___Apple_scab/image (76).JPG,Apple : Scab
Apple___Apple_scab/image (77).JPG,Apple : Scab
Apple___Apple_scab/image (78).JPG,Apple : Scab
Apple___Apple_scab/image (79).JPG,Apple : Scab
Apple___Apple_scab/image (80).JPG,Apple : Scab
